STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6318310,Co-operative Education,Major Required Course,Specific Required Course
6318410,Intensive English,Major Elective Course,Major Elective Course
6318410,Computer Programming,Core Course,Specific Required Course
6318410,Information Technology Workshop 1,Major Required Course,Specific Required Course
6318410,Thai Language Skills,Language Course,General Education Course 
6318410,Basic Information Technology,Science and Mathematics Course,General Education Course 
6318410,Mathematics for Information Technology 1,Core Course,Specific Required Course
6318410,Mathematics for Information Technology 2,Core Course,Specific Required Course
6318410,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6318410,Human and Computer Interaction,Core Course,Specific Required Course
6318410,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6318410,Object-Oriented Programming,Core Course,Specific Required Course
6318410,Data Communications and Networks,Major Required Course,Specific Required Course
6318410,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6318410,Information Technology Workshop 2,Major Required Course,Specific Required Course
6318410,English 2,Language Course,General Education Course 
6318410,Probability and Statistics,Core Course,Specific Required Course
6318410,Introduction to Economics,Social Science Course,General Education Course 
6318410,Science for Life,Science and Mathematics Course,General Education Course 
6318410,Database Systems,Major Required Course,Specific Required Course
6318410,ASEAN Studies,Social Science Course,General Education Course 
6318410,Organization and Management,Social Science Course,General Education Course 
6318410,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6318410,Data Structures and Algorithms,Major Required Course,Specific Required Course
6318410,Industrial Management,Major Required Course,Specific Required Course
6318410,Seminar,Major Required Course,Specific Required Course
6318410,Management Information Systems,Major Required Course,Specific Required Course
6318410,Web Programming,Core Course,Specific Required Course
6318410,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6318410,English 3,Language Course,General Education Course 
6318410,System Analysis and Design,Major Required Course,Specific Required Course
6318410,Information Technology Project Management,Major Required Course,Specific Required Course
6318410,Business Modeling and Simulation,Major Required Course,Specific Required Course
6318410,Web Design and Development,Major Elective Course,Specific Required Course
6318410,Information Security,Core Course,Specific Required Course
6318410,Information Technology Service Management,Major Required Course,Specific Required Course
6318410,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6318410,Business Information System Design,Major Required Course,Specific Required Course
6318410,Senior Project 1,Major Required Course,Specific Required Course
6318410,Exercise for Noncommunicable Diseases Prevention,Major Elective Course,Major Elective Course
6318410,Senior Project 2,Major Required Course,Specific Required Course
6318410,Digital Marketing,Major Required Course,Specific Required Course
6318410,Mobile Programming,Major Elective Course,Specific Required Course
6318410,Co-operative Education,Major Required Course,Specific Required Course
6319010,Basic Information Technology,Science and Mathematics Course,General Education Course 
6319010,Information Technology Workshop 1,Major Required Course,Specific Required Course
6319010,Thai Language Skills,Language Course,General Education Course 
6319010,Computer Programming,Core Course,Specific Required Course
6319010,Mathematics for Information Technology 1,Core Course,Specific Required Course
6319010,Intensive English,Major Elective Course,Major Elective Course
6319010,Mathematics for Information Technology 2,Core Course,Specific Required Course
6319010,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6319010,Human and Computer Interaction,Core Course,Specific Required Course
6319010,Object-Oriented Programming,Core Course,Specific Required Course
6319010,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6319010,Organization and Management,Social Science Course,General Education Course 
6319010,Introduction to Economics,Social Science Course,General Education Course 
6319010,Information Technology Workshop 2,Major Required Course,Specific Required Course
6319010,English 2,Language Course,General Education Course 
6319010,Science for Life,Science and Mathematics Course,General Education Course 
6319010,Probability and Statistics,Core Course,Specific Required Course
6319010,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6319010,Data Communications and Networks,Major Required Course,Specific Required Course
6319010,Industrial Management,Major Required Course,Specific Required Course
6319010,Data Structures and Algorithms,Major Required Course,Specific Required Course
6319010,English 2,Language Course,General Education Course 
6319010,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6319010,Database Systems,Major Required Course,Specific Required Course
6319010,ASEAN Studies,Social Science Course,General Education Course 
6319010,Management Information Systems,Major Required Course,Specific Required Course
6319010,Information Technology Project Management,Major Required Course,Specific Required Course
6319010,System Analysis and Design,Major Required Course,Specific Required Course
6319010,Thai Traditional Food Recipes,Major Elective Course,Major Elective Course
6319010,Principles of Crop Produces,Major Elective Course,Major Elective Course
6319010,Seminar,Major Required Course,Specific Required Course
6319010,Web Programming,Core Course,Specific Required Course
6319010,Business Modeling and Simulation,Major Required Course,Specific Required Course
6319010,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6319010,Information Technology Service Management,Major Required Course,Specific Required Course
6319010,Business Information System Design,Major Required Course,Specific Required Course
6319010,Information Security,Core Course,Specific Required Course
6319010,Exercise for Noncommunicable Diseases Prevention,Major Elective Course,Major Elective Course
6319010,Senior Project 1,Major Required Course,Specific Required Course
6319010,English 2,Language Course,General Education Course 
6319010,English 3,Language Course,General Education Course 
6319010,Spa Therapy,Major Elective Course,Major Elective Course
6319010,Web Design and Development,Major Elective Course,Specific Required Course
6319010,Senior Project 2,Major Required Course,Specific Required Course
6319010,Mobile Programming,Major Elective Course,Specific Required Course
6319010,Digital Marketing,Major Required Course,Specific Required Course
6319010,Co-operative Education,Major Required Course,Specific Required Course
6319110,Information Technology Workshop 1,Major Required Course,Specific Required Course
6319110,Thai Language Skills,Language Course,General Education Course 
6319110,Intensive English,Major Elective Course,Major Elective Course
6319110,Computer Programming,Core Course,Specific Required Course
6319110,Basic Information Technology,Science and Mathematics Course,General Education Course 
6319110,Mathematics for Information Technology 1,Core Course,Specific Required Course
6319110,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6319110,Object-Oriented Programming,Core Course,Specific Required Course
6319110,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6319110,Mathematics for Information Technology 2,Core Course,Specific Required Course
6319110,Human and Computer Interaction,Core Course,Specific Required Course
6319110,Information Technology Workshop 2,Major Required Course,Specific Required Course
6319110,Data Communications and Networks,Major Required Course,Specific Required Course
6319110,English 2,Language Course,General Education Course 
6319110,Probability and Statistics,Core Course,Specific Required Course
6319110,Science for Life,Science and Mathematics Course,General Education Course 
6319110,Introduction to Economics,Social Science Course,General Education Course 
6319110,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6319110,ASEAN Studies,Social Science Course,General Education Course 
6319110,Organization and Management,Social Science Course,General Education Course 
6319110,English 2,Language Course,General Education Course 
6319110,Database Systems,Major Required Course,Specific Required Course
6319110,Data Structures and Algorithms,Major Required Course,Specific Required Course
6319110,Industrial Management,Major Required Course,Specific Required Course
6319110,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6319110,Information Technology Project Management,Major Required Course,Specific Required Course
6319110,Management Information Systems,Major Required Course,Specific Required Course
6319110,Seminar,Major Required Course,Specific Required Course
6319110,Web Programming,Core Course,Specific Required Course
6319110,System Analysis and Design,Major Required Course,Specific Required Course
6319110,Business Modeling and Simulation,Major Required Course,Specific Required Course
6319110,English 3,Language Course,General Education Course 
6319110,Senior Project 1,Major Required Course,Specific Required Course
6319110,Information Technology Service Management,Major Required Course,Specific Required Course
6319110,Principles of Crop Produces,Major Elective Course,Major Elective Course
6319110,Business Information System Design,Major Required Course,Specific Required Course
6319110,Information Security,Core Course,Specific Required Course
6319110,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6319110,Digital Marketing,Major Required Course,Specific Required Course
6319110,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6319110,Senior Project 2,Major Required Course,Specific Required Course
6319110,Thai Wisdom,Major Elective Course,Major Elective Course
6319110,Web Design and Development,Major Elective Course,Specific Required Course
6319110,Senior Project 2,Major Required Course,Specific Required Course
6319110,Co-operative Education,Major Required Course,Specific Required Course
6319210,Information Technology Workshop 1,Major Required Course,Specific Required Course
6319210,Intensive English,Major Elective Course,Major Elective Course
6319210,Computer Programming,Core Course,Specific Required Course
6319210,Mathematics for Information Technology 1,Core Course,Specific Required Course
6319210,Thai Language Skills,Language Course,General Education Course 
6319210,Basic Information Technology,Science and Mathematics Course,General Education Course 
6319210,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6319210,Mathematics for Information Technology 2,Core Course,Specific Required Course
6319210,Object-Oriented Programming,Core Course,Specific Required Course
6319210,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6319210,Human and Computer Interaction,Core Course,Specific Required Course
6319210,Information Technology Workshop 2,Major Required Course,Specific Required Course
6319210,Data Communications and Networks,Major Required Course,Specific Required Course
6319210,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6319210,Science for Life,Science and Mathematics Course,General Education Course 
6319210,Introduction to Economics,Social Science Course,General Education Course 
6319210,Probability and Statistics,Core Course,Specific Required Course
6319210,ASEAN Studies,Social Science Course,General Education Course 
6319210,Organization and Management,Social Science Course,General Education Course 
6319210,Database Systems,Major Required Course,Specific Required Course
6319210,Data Structures and Algorithms,Major Required Course,Specific Required Course
6319210,Industrial Management,Major Required Course,Specific Required Course
6319210,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6319210,Information Technology Project Management,Major Required Course,Specific Required Course
6319210,Management Information Systems,Major Required Course,Specific Required Course
6319210,Seminar,Major Required Course,Specific Required Course
6319210,Web Programming,Core Course,Specific Required Course
6319210,Business Modeling and Simulation,Major Required Course,Specific Required Course
6319210,English 2,Language Course,General Education Course 
6319210,System Analysis and Design,Major Required Course,Specific Required Course
6319210,Business Information System Design,Major Required Course,Specific Required Course
6319210,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6319210,Information Technology Service Management,Major Required Course,Specific Required Course
6319210,Information Security,Core Course,Specific Required Course
6319210,Principles of Crop Produces,Major Elective Course,Major Elective Course
6319210,Senior Project 1,Major Required Course,Specific Required Course
6319210,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6319210,Senior Project 2,Major Required Course,Specific Required Course
6319210,Object-Oriented Programming,Core Course,Specific Required Course
6319210,Thai Wisdom,Major Elective Course,Major Elective Course
6319210,Mobile Programming,Major Elective Course,Specific Required Course
6319210,Digital Marketing,Major Required Course,Specific Required Course
6319210,English 3,Language Course,General Education Course 
6319210,Co-operative Education,Major Required Course,Specific Required Course
6319510,Thai Language Skills,Language Course,General Education Course 
6319510,Basic Information Technology,Science and Mathematics Course,General Education Course 
6319510,Intensive English,Major Elective Course,Major Elective Course
6319510,Mathematics for Information Technology 1,Core Course,Specific Required Course
6319510,Computer Programming,Core Course,Specific Required Course
6319510,Information Technology Workshop 1,Major Required Course,Specific Required Course
6319510,Mathematics for Information Technology 2,Core Course,Specific Required Course
6319510,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6319510,Object-Oriented Programming,Core Course,Specific Required Course
6319510,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6319510,Human and Computer Interaction,Core Course,Specific Required Course
6319510,Probability and Statistics,Core Course,Specific Required Course
6319510,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6319510,English 2,Language Course,General Education Course 
6319510,Science for Life,Science and Mathematics Course,General Education Course 
6319510,Data Communications and Networks,Major Required Course,Specific Required Course
6319510,Information Technology Workshop 2,Major Required Course,Specific Required Course
6319510,Introduction to Economics,Social Science Course,General Education Course 
6319510,Database Systems,Major Required Course,Specific Required Course
6319510,ASEAN Studies,Social Science Course,General Education Course 
6319510,Organization and Management,Social Science Course,General Education Course 
6319510,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6319510,Data Structures and Algorithms,Major Required Course,Specific Required Course
6319510,Industrial Management,Major Required Course,Specific Required Course
6319510,System Analysis and Design,Major Required Course,Specific Required Course
6319510,Web Programming,Core Course,Specific Required Course
6319510,English 3,Language Course,General Education Course 
6319510,Seminar,Major Required Course,Specific Required Course
6319510,Information Technology Project Management,Major Required Course,Specific Required Course
6319510,Management Information Systems,Major Required Course,Specific Required Course
6319510,Business Modeling and Simulation,Major Required Course,Specific Required Course
6319510,Senior Project 1,Major Required Course,Specific Required Course
6319510,Information Technology Service Management,Major Required Course,Specific Required Course
6319510,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6319510,Business Information System Design,Major Required Course,Specific Required Course
6319510,Information Security,Core Course,Specific Required Course
6319510,Thai Traditional Food Recipes,Major Elective Course,Major Elective Course
6319510,Senior Project 2,Major Required Course,Specific Required Course
6319510,Digital Marketing,Major Required Course,Specific Required Course
6319510,Principles of Crop Produces,Major Elective Course,Major Elective Course
6319510,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6319510,Web Design and Development,Major Elective Course,Specific Required Course
6319510,Co-operative Education,Major Required Course,Specific Required Course
6319910,Thai Language Skills,Language Course,General Education Course 
6319910,Computer Programming,Core Course,Specific Required Course
6319910,Mathematics for Information Technology 1,Core Course,Specific Required Course
6319910,Basic Information Technology,Science and Mathematics Course,General Education Course 
6319910,Information Technology Workshop 1,Major Required Course,Specific Required Course
6319910,Intensive English,Major Elective Course,Major Elective Course
6319910,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6319910,Mathematics for Information Technology 2,Core Course,Specific Required Course
6319910,Human and Computer Interaction,Core Course,Specific Required Course
6319910,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6319910,Object-Oriented Programming,Core Course,Specific Required Course
6319910,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6319910,Data Communications and Networks,Major Required Course,Specific Required Course
6319910,English 2,Language Course,General Education Course 
6319910,Probability and Statistics,Core Course,Specific Required Course
6319910,Information Technology Workshop 2,Major Required Course,Specific Required Course
6319910,Introduction to Economics,Social Science Course,General Education Course 
6319910,Science for Life,Science and Mathematics Course,General Education Course 
6319910,ASEAN Studies,Social Science Course,General Education Course 
6319910,Organization and Management,Social Science Course,General Education Course 
6319910,Database Systems,Major Required Course,Specific Required Course
6319910,Data Structures and Algorithms,Major Required Course,Specific Required Course
6319910,Industrial Management,Major Required Course,Specific Required Course
6319910,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6319910,Seminar,Major Required Course,Specific Required Course
6319910,Business Modeling and Simulation,Major Required Course,Specific Required Course
6319910,Management Information Systems,Major Required Course,Specific Required Course
6319910,Web Programming,Core Course,Specific Required Course
6319910,Basic Korean 1,Major Elective Course,Major Elective Course
6319910,English 3,Language Course,General Education Course 
6319910,System Analysis and Design,Major Required Course,Specific Required Course
6319910,Information Technology Project Management,Major Required Course,Specific Required Course
6319910,Information Technology Service Management,Major Required Course,Specific Required Course
6319910,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6319910,Business Information System Design,Major Required Course,Specific Required Course
6319910,Web Design and Development,Major Elective Course,Specific Required Course
6319910,Senior Project 1,Major Required Course,Specific Required Course
6319910,Exercise for Noncommunicable Diseases Prevention,Major Elective Course,Major Elective Course
6319910,Information Security,Core Course,Specific Required Course
6319910,Mobile Programming,Major Elective Course,Specific Required Course
6319910,Spa Therapy,Major Elective Course,Major Elective Course
6319910,Senior Project 2,Major Required Course,Specific Required Course
6319910,Digital Marketing,Major Required Course,Specific Required Course
6319910,Principles of Crop Produces,Major Elective Course,Major Elective Course
6319910,Co-operative Education,Major Required Course,Specific Required Course
6310011,Intensive English,Major Elective Course,Major Elective Course
6310011,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310011,Thai Language Skills,Language Course,General Education Course 
6310011,Computer Programming,Core Course,Specific Required Course
6310011,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310011,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310011,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310011,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310011,Human and Computer Interaction,Core Course,Specific Required Course
6310011,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310011,Object-Oriented Programming,Core Course,Specific Required Course
6310011,Data Communications and Networks,Major Required Course,Specific Required Course
6310011,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310011,Probability and Statistics,Core Course,Specific Required Course
6310011,English 2,Language Course,General Education Course 
6310011,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310011,Introduction to Economics,Social Science Course,General Education Course 
6310011,Science for Life,Science and Mathematics Course,General Education Course 
6310011,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310011,Database Systems,Major Required Course,Specific Required Course
6310011,ASEAN Studies,Social Science Course,General Education Course 
6310011,Organization and Management,Social Science Course,General Education Course 
6310011,Industrial Management,Major Required Course,Specific Required Course
6310011,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310011,Seminar,Major Required Course,Specific Required Course
6310011,Web Programming,Core Course,Specific Required Course
6310011,Information Technology Project Management,Major Required Course,Specific Required Course
6310011,English 3,Language Course,General Education Course 
6310011,System Analysis and Design,Major Required Course,Specific Required Course
6310011,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6310011,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310011,Management Information Systems,Major Required Course,Specific Required Course
6310011,Web Design and Development,Major Elective Course,Specific Required Course
6310011,Information Technology Service Management,Major Required Course,Specific Required Course
6310011,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310011,Exercise for Noncommunicable Diseases Prevention,Major Elective Course,Major Elective Course
6310011,Business Information System Design,Major Required Course,Specific Required Course
6310011,Information Security,Core Course,Specific Required Course
6310011,Senior Project 1,Major Required Course,Specific Required Course
6310011,Digital Marketing,Major Required Course,Specific Required Course
6310011,Mobile Programming,Major Elective Course,Specific Required Course
6310011,Senior Project 2,Major Required Course,Specific Required Course
6310011,Co-operative Education,Major Required Course,Specific Required Course
6310111,Computer Programming,Core Course,Specific Required Course
6310111,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310111,Intensive English,Major Elective Course,Major Elective Course
6310111,Thai Language Skills,Language Course,General Education Course 
6310111,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310111,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310111,Object-Oriented Programming,Core Course,Specific Required Course
6310111,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310111,Human and Computer Interaction,Core Course,Specific Required Course
6310111,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310111,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310111,Introduction to Economics,Social Science Course,General Education Course 
6310111,English 2,Language Course,General Education Course 
6310111,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310111,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310111,Probability and Statistics,Core Course,Specific Required Course
6310111,Science for Life,Science and Mathematics Course,General Education Course 
6310111,Data Communications and Networks,Major Required Course,Specific Required Course
6310111,ASEAN Studies,Social Science Course,General Education Course 
6310111,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310111,Organization and Management,Social Science Course,General Education Course 
6310111,English 2,Language Course,General Education Course 
6310111,Industrial Management,Major Required Course,Specific Required Course
6310111,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310111,Database Systems,Major Required Course,Specific Required Course
6310111,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6310111,Information Technology Project Management,Major Required Course,Specific Required Course
6310111,Web Programming,Core Course,Specific Required Course
6310111,Management Information Systems,Major Required Course,Specific Required Course
6310111,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310111,Seminar,Major Required Course,Specific Required Course
6310111,English 2,Language Course,General Education Course 
6310111,System Analysis and Design,Major Required Course,Specific Required Course
6310111,Information Technology Service Management,Major Required Course,Specific Required Course
6310111,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310111,Business Information System Design,Major Required Course,Specific Required Course
6310111,Senior Project 1,Major Required Course,Specific Required Course
6310111,Myanmar Conversation 1,Major Elective Course,Major Elective Course
6310111,English 3,Language Course,General Education Course 
6310111,Information Security,Core Course,Specific Required Course
6310111,Digital Marketing,Major Required Course,Specific Required Course
6310111,Senior Project 2,Major Required Course,Specific Required Course
6310111,Spa Therapy,Major Elective Course,Major Elective Course
6310111,Web Design and Development,Major Elective Course,Specific Required Course
6310111,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310111,Co-operative Education,Major Required Course,Specific Required Course
6310211,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310211,Intensive English,Major Elective Course,Major Elective Course
6310211,Computer Programming,Core Course,Specific Required Course
6310211,Thai Language Skills,Language Course,General Education Course 
6310211,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310211,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310211,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310211,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310211,Human and Computer Interaction,Core Course,Specific Required Course
6310211,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310211,Object-Oriented Programming,Core Course,Specific Required Course
6310211,Probability and Statistics,Core Course,Specific Required Course
6310211,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310211,English 2,Language Course,General Education Course 
6310211,Science for Life,Science and Mathematics Course,General Education Course 
6310211,Introduction to Economics,Social Science Course,General Education Course 
6310211,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310211,Data Communications and Networks,Major Required Course,Specific Required Course
6310211,English 2,Language Course,General Education Course 
6310211,ASEAN Studies,Social Science Course,General Education Course 
6310211,Organization and Management,Social Science Course,General Education Course 
6310211,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310211,Industrial Management,Major Required Course,Specific Required Course
6310211,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310211,Database Systems,Major Required Course,Specific Required Course
6310211,Seminar,Major Required Course,Specific Required Course
6310211,Web Programming,Core Course,Specific Required Course
6310211,Management Information Systems,Major Required Course,Specific Required Course
6310211,English 3,Language Course,General Education Course 
6310211,Information Technology Project Management,Major Required Course,Specific Required Course
6310211,System Analysis and Design,Major Required Course,Specific Required Course
6310211,Basic Korean 1,Major Elective Course,Major Elective Course
6310211,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310211,Senior Project 1,Major Required Course,Specific Required Course
6310211,Information Security,Core Course,Specific Required Course
6310211,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310211,Information Technology Service Management,Major Required Course,Specific Required Course
6310211,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310211,Business Information System Design,Major Required Course,Specific Required Course
6310211,Web Design and Development,Major Elective Course,Specific Required Course
6310211,Digital Marketing,Major Required Course,Specific Required Course
6310211,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310211,Senior Project 2,Major Required Course,Specific Required Course
6310211,Co-operative Education,Major Required Course,Specific Required Course
6310511,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310511,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310511,Thai Language Skills,Language Course,General Education Course 
6310511,Computer Programming,Core Course,Specific Required Course
6310511,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310511,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310511,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310511,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310511,Human and Computer Interaction,Core Course,Specific Required Course
6310511,Object-Oriented Programming,Core Course,Specific Required Course
6310511,English 2,Language Course,General Education Course 
6310511,Introduction to Economics,Social Science Course,General Education Course 
6310511,Probability and Statistics,Core Course,Specific Required Course
6310511,English 3,Language Course,General Education Course 
6310511,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310511,Data Communications and Networks,Major Required Course,Specific Required Course
6310511,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310511,Science for Life,Science and Mathematics Course,General Education Course 
6310511,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310511,Database Systems,Major Required Course,Specific Required Course
6310511,ASEAN Studies,Social Science Course,General Education Course 
6310511,Organization and Management,Social Science Course,General Education Course 
6310511,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310511,Industrial Management,Major Required Course,Specific Required Course
6310511,System Analysis and Design,Major Required Course,Specific Required Course
6310511,Web Programming,Core Course,Specific Required Course
6310511,Seminar,Major Required Course,Specific Required Course
6310511,Information Technology Project Management,Major Required Course,Specific Required Course
6310511,Management Information Systems,Major Required Course,Specific Required Course
6310511,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310511,Senior Project 1,Major Required Course,Specific Required Course
6310511,Information Technology Service Management,Major Required Course,Specific Required Course
6310511,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310511,Business Information System Design,Major Required Course,Specific Required Course
6310511,Information Security,Core Course,Specific Required Course
6310511,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310511,Digital Marketing,Major Required Course,Specific Required Course
6310511,Web Design and Development,Major Elective Course,Specific Required Course
6310511,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310511,Plants and People,Major Elective Course,Major Elective Course
6310511,Senior Project 2,Major Required Course,Specific Required Course
6310511,Co-operative Education,Major Required Course,Specific Required Course
6310611,Computer Programming,Core Course,Specific Required Course
6310611,Intensive English,Major Elective Course,Major Elective Course
6310611,Thai Language Skills,Language Course,General Education Course 
6310611,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310611,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310611,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310611,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310611,Human and Computer Interaction,Core Course,Specific Required Course
6310611,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310611,Object-Oriented Programming,Core Course,Specific Required Course
6310611,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310611,Introduction to Economics,Social Science Course,General Education Course 
6310611,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310611,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310611,Science for Life,Science and Mathematics Course,General Education Course 
6310611,Data Communications and Networks,Major Required Course,Specific Required Course
6310611,Probability and Statistics,Core Course,Specific Required Course
6310611,English 2,Language Course,General Education Course 
6310611,English 2,Language Course,General Education Course 
6310611,Industrial Management,Major Required Course,Specific Required Course
6310611,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310611,Database Systems,Major Required Course,Specific Required Course
6310611,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310611,ASEAN Studies,Social Science Course,General Education Course 
6310611,Organization and Management,Social Science Course,General Education Course 
6310611,Seminar,Major Required Course,Specific Required Course
6310611,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310611,System Analysis and Design,Major Required Course,Specific Required Course
6310611,Web Programming,Core Course,Specific Required Course
6310611,English 2,Language Course,General Education Course 
6310611,Information Technology Project Management,Major Required Course,Specific Required Course
6310611,Management Information Systems,Major Required Course,Specific Required Course
6310611,Information Technology Service Management,Major Required Course,Specific Required Course
6310611,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310611,Business Information System Design,Major Required Course,Specific Required Course
6310611,Senior Project 1,Major Required Course,Specific Required Course
6310611,English 3,Language Course,General Education Course 
6310611,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310611,Information Security,Core Course,Specific Required Course
6310611,Senior Project 2,Major Required Course,Specific Required Course
6310611,Web Design and Development,Major Elective Course,Specific Required Course
6310611,Introduction to Artificial Intelligence,Major Elective Course,Specific Required Course
6310611,Thai Traditional Food Recipes,Major Elective Course,Major Elective Course
6310611,Digital Marketing,Major Required Course,Specific Required Course
6310611,Co-operative Education,Major Required Course,Specific Required Course
6310711,Thai Language Skills,Language Course,General Education Course 
6310711,Intensive English,Major Elective Course,Major Elective Course
6310711,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310711,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310711,Basic Information Technology,Science and Mathematics Course,General Education Course 
